PSR-SX900 Style List - From Yamaha Tech Support				
				5/30/2022									
F0 43 73 01 51 05 00 03 04 00 00 dd dd F7													
													
						Confidential							
Order	Category	Cat. Number	Order In Cat.	Style Name	ID(Hex)								
346	Latin	5	28	Joropo		F	78							
347	Latin	5	29	CubanSon	43	10							
348	Latin	5	30	Guajira		2F	F							
349	Latin	5	31	Guaguanco	43	F							
350	Latin	5	32	Salsa		43	E							
351	Latin	5	33	BoleroLento	2F	2							
352	Latin	5	34	GuitarRumba	2F	20							
353	Latin	5	35	JazzSamba	42	68							
354	Latin	5	36	PopLatin		2F	25							
355	Latin	5	37	PopBossa		2	61							
356	Latin	5	38	PopLatinBallad	2F	2A							
357	Latin	5	39	SheriffReggae	47	20							
358	Latin	5	40	HappyReggae	B	20							
359	Ballroom	6	1	FinalWaltz	16	23							
360	Ballroom	6	2	VocalWaltz	16	28							
361	Ballroom	6	3	EnglishWaltz	C	0							
362	Ballroom	6	4	SlowWaltz	C	3							
363	Ballroom	6	5	Jive		1C	0							
364	Ballroom	6	6	Quickstep1	A	3C							
365	Ballroom	6	7	Quickstep2	A	23							
366	Ballroom	6	8	SlowFoxtrot1	A	52							
367	Ballroom	6	9	SlowFoxtrot2	A	22							
368	Ballroom	6	10	VocalFoxtrot	A	4D							
369	Ballroom	6	11	Cha-Cha		2F	3							
370	Ballroom	6	12	Samba		42	63							
371	Ballroom	6	13	Rumba		2F	0							
372	Ballroom	6	14	Beguine		2F	1							
373	Ballroom	6	15	Tango		1B	0							
374	Ballroom	6	16	Pasodoble	1B	60							
375	Ballroom	6	17	Foxtrot		A	20							
376	Ballroom	6	18	SwingFox		A	21							
377	Ballroom	6	19	Charleston	A	2A							
378	Ballroom	6	20	OrganQuickstep	A	24							
379	Ballroom	6	21	OrganCha-Cha	2F	4							
380	Ballroom	6	22	OrganSamba	42	61							
381	Ballroom	6	23	OrganRumba	2F	29							
382	Movie&Show	7	1	Gunslinger	4E	65							
383	Movie&Show	7	2	WildWest		2F	66							
384	Movie&Show	7	3	SecretService	2C	2C							
385	Movie&Show	7	4	Sci-FiMarch	3	6C							
386	Movie&Show	7	5	MovieSoundtrack	10	1							
387	Movie&Show	7	6	OnBroadway	18	27							
388	Movie&Show	7	7	MovieHorns	18	30							
389	Movie&Show	7	8	EtherealMovie	18	22							
390	Movie&Show	7	9	EtherealVoices	18	26							
391	Movie&Show	7	10	MovieClassic	2E	49							
392	Movie&Show	7	11	AnimationFantasy	1B	41							
393	Movie&Show	7	12	AnimationBallad	2E	41							
394	Movie&Show	7	13	IcyBallad		4E	68							
395	Movie&Show	7	14	MoviePanther	1E	49							
396	Movie&Show	7	15	BlockbusterBallad	40	4F							
397	Movie&Show	7	16	VienneseWaltz	10	0							
398	Movie&Show	7	17	OrchPopClassics	2C	D							
399	Movie&Show	7	18	StringAdagio	2F	70							
400	Movie&Show	7	19	Moonlight6-8	3C	22							
401	Movie&Show	7	20	OrchestralPolka	3	62							
402	Movie&Show	7	21	MovieDisco	2D	25							
403	Movie&Show	7	22	SaturdayNight	41	24							
404	Movie&Show	7	23	70sTV Theme	40	5							
405	Movie&Show	7	24	80sMovieBallad	40	10							
406	Movie&Show	7	25	MovieBallad	18	20							
407	Movie&Show	7	26	6-8March		B	40							
408	Movie&Show	7	27	US March		3	40							
409	Movie&Show	7	28	OrchestralMarch	3	41							
410	Movie&Show	7	29	BaroqueAir	2F	68							
411	Movie&Show	7	30	GreenFantasia	3F	69							
412	Movie&Show	7	31	80sChristmas	2D	35							
413	Movie&Show	7	32	ChristmasBallad	B	66							
414	Movie&Show	7	33	ChristmasSwing	B	60							
415	Movie&Show	7	34	ChristmasWaltz	F	62							
416	Movie&Show	7	35	OrganHymn	18	2F							
417	Movie&Show	7	36	MovieSwing1	A	48							
418	Movie&Show	7	37	MovieSwing2	A	44							
419	Movie&Show	7	38	PopMusical	49	46							
420	Movie&Show	7	39	It'sShowtime	1B	40							
421	Movie&Show	7	40	TapDanceSwing	A	27							
422	Movie&Show	7	41	OrchMovieBallad	4E	6A							
423	Movie&Show	7	42	BroadwayBallad	2C	2D							
424	Movie&Show	7	43	GuitarSerenade	F	63							
425	Entertainer	8	1	DreamSchlager	42	33							
426	Entertainer	8	2	FantasyFox	42	37							
427	Entertainer	8	3	ApresSkiParty	2D	38							
428	Entertainer	8	4	PopRumba	2F	17							
429	Entertainer	8	5	SchlagerRock	2C	57							
430	Entertainer	8	6	AlpenSchlager	2E	39							
431	Entertainer	8	7	VolksDance	3	77							
432	Entertainer	8	8	OktoberRockHit	2	E							
433	Entertainer	8	9	VolksSchlager	32	32							
434	Entertainer	8	10	SchlagerFox	2E	25							
435	Entertainer	8	11	YoungFox		2D	31							
436	Entertainer	8	12	YoungBallad	2E	30							
437	Entertainer	8	13	HelloShuffle	3F	6A							
438	Entertainer	8	14	ModernSchlager	32	24							
439	Entertainer	8	15	SchlagerPop	18	0							
440	Entertainer	8	16	SchlagerBeat	2C	E							
441	Entertainer	8	17	SchlagerAlp	2C	F							
442	Entertainer	8	18	SchlagerRumba	2F	24							
443	Entertainer	8	19	Schlager6-8	3C	25							
444	Entertainer	8	20	SchlagerFever	2C	5C							
445	Entertainer	8	21	AlpenBallad1	3F	62							
446	Entertainer	8	22	AlpenBallad2	3F	63							
447	Entertainer	8	23	PartyPolka	0	0							
448	Entertainer	8	24	SchlagerPolka	3	65							
449	Entertainer	8	25	SchlagerPalace	2E	2B							
450	Entertainer	8	26	PolkaPop		3	61							
451	Entertainer	8	27	SchlagerShuffle	3C	0							
452	Entertainer	8	28	SchlagerSamba	43	60							
453	Entertainer	8	29	DiscoFox		2D	2B							
454	Entertainer	8	30	DiscoFoxRock	2C	5B							
455	Entertainer	8	31	GermanRock	2C	55							
456	Entertainer	8	32	SchlagerWaltz	2B	60							
457	Entertainer	8	33	MallorcaParty	2D	2C							
458	Entertainer	8	34	MallorcaDisco	41	59							
459	Entertainer	8	35	PartyArena	2D	2D							
460	Entertainer	8	36	SoftSchlager	2E	2A							
461	Entertainer	8	37	ApresSkiHit	2D	2E							
462	Entertainer	8	38	SynthPopDuo	2D	2F							
463	Entertainer	8	39	RumbaIsland	3	0							
464	Entertainer	8	40	70sFrenchHit	2F	69							
465	Entertainer	8	41	SingalongDanceBand	A	3D							
466	Entertainer	8	42	SingalongPiano	3	73							
467	Entertainer	8	43	PubPiano		3	60							
468	World	9	1	Hoedown			2	1							
469	World	9	2	Bluegrass			2	A
						
470	World	9	3	CountryWaltz	16	1							
471	World	9	4	ModCeltic4-4	2F	71							
472	World	9	5	ModCeltic6-8	3C	2B							
473	World	9	6	OberkrainerPolka1	0	1							
474	World	9	7	OberkrainerPolka2	3	63							
475	World	9	8	ZitherPolka	3	71							
476	World	9	9	OberkrainerWaltz1	F	7D							
477	World	9	10	OberkrainerWaltz2	F	65							
478	World	9	11	SaeidyPop	2D	66							
479	World	9	12	Saeidy		2D	61							
480	World	9	13	WehdaSaghira	2D	63							
481	World	9	14	Laff		2D	64							
482	World	9	15	ArabicEuro	2D	65							
483	World	9	16	ModernDangdut1	32	21							
484	World	9	17	ModernDangdut2	43	66							
485	World	9	18	Keroncong	2E	4F							
486	World	9	19	Bhangra		A	37							
487	World	9	20	Bhajan		2D	4B							
488	World	9	21	ScottishJig	1F	61							
